Column 1,Column 2,Column 3,Column 4,Column 5
1,The Colour of Magic,1983,Rincewind,First edition cover artwork by Josh Kirby. 93rd in the Big Read[7]
2,The Light Fantastic,1986,Rincewind / Unseen University,Continues from The Colour of Magic
3,Equal Rites,1987,Witches / Unseen University,
4,Mort,Death,65th in the Big Read[7],
5,Sourcery,1988,Rincewind / Unseen University,
6,Wyrd Sisters,Witches,135th in the Big Read[8],
7,Pyramids,1989,Stand-alone,"British Science Fiction Award winner, 1989[9]"
8,Guards! Guards!,City Watch,69th in the Big Read[7],
9,Eric,1990,Rincewind (Unseen University),Published in a larger format and fully illustrated by Josh Kirby
10,Moving Pictures,Unseen University / Industrial Revolution,,
11,Reaper Man,1991,Death / Unseen University,126th in the Big Read[8]
12,Witches Abroad,Witches,197th in the Big Read[10],
13,Small Gods,1992,Stand-alone,102nd in the Big Read[8]
14,Lords and Ladies,Witches (Unseen University),,
15,Men at Arms,1993,City Watch,148th in the Big Read[8]
16,Soul Music,1994,Death / Unseen University,151st in the Big Read[10]
17,Interesting Times,Rincewind (Unseen University),,
18,Maskerade,1995,Witches,
19,Feet of Clay,1996,City Watch,
20,Hogfather,Death / Unseen University,"137th in the Big Read;[8] British Fantasy Award nominee, 1997[11]",
21,Jingo,1997,City Watch,
22,The Last Continent,1998,Rincewind / Unseen University,
23,Carpe Jugulum,Witches,,
24,The Fifth Elephant,1999,City Watch,"153rd in the Big Read;[10] Locus Award (Fantasy) nominee, 2000[12]"
25,The Truth,2000,Industrial Revolution,193rd in the Big Read[10]
26,Thief of Time,2001,Death,"The last to have original cover artwork by Josh Kirby. 152nd in the Big Read;[10] Locus Award nominee, 2002[13]"
27,The Last Hero,Rincewind,Published in a larger format and fully illustrated by Paul Kidby — the first in the line of his original release cover artwork for all subsequent Discworld novels (bar the 28th).,
28,The Amazing Maurice and His Educated Rodents,Stand-alone,The only novel to have original cover artwork by David Wyatt. A YA (young adult or children's) Discworld book; winner of the 2001 Carnegie Medal[14],
29,Night Watch,2002,City Watch,"Received the Prometheus Award in 2003;[15] came 73rd in the Big Read;[7] Locus Award nominee, 2003[15]"
30,The Wee Free Men,2003,Tiffany Aching (Witches),The second YA Discworld book; also later published in 2008 in a fully illustrated by Stephen Player larger format edition.
31,Monstrous Regiment,Industrial Revolution,2004 nominee for Locus Award for Best Fantasy Novel.[16] The title is a reference to The First Blast of the Trumpet Against the Monstruous Regiment of Women[17],
32,A Hat Full of Sky,2004,Tiffany Aching (Witches),The third YA Discworld book
33,Going Postal,Moist von Lipwig / Industrial Revolution,"nominated for both the Locus and the Nebula Awards, 2005[18]",
34,Thud!,2005,City Watch,"Locus Award nominee, 2006[19]"
35,Wintersmith,2006,Tiffany Aching (Witches),The fourth YA book.
36,Making Money,2007,Moist von Lipwig / Industrial Revolution,"Locus Award winner, Nebula nominee, 2008[20]"
37,Unseen Academicals,2009,Unseen University (Rincewind) / Industrial Revolution,"Locus Award nominee, 2010[21]"
38,I Shall Wear Midnight,2010,Tiffany Aching (Witches),"The fifth YA book, Andre Norton winner, 2010[22]"
39,Snuff,2011,City Watch / Industrial Revolution,"The third-fastest-selling hardback adult-readership novel since records began in the UK, selling 55,000 copies in the first three days.[23]"
40,Raising Steam,2013,Moist von Lipwig / Industrial Revolution,
41,The Shepherd's Crown,2015,Tiffany Aching (Witches),"The sixth YA book, Completed mid-2014 and published posthumously in 2015[24]"
